"iddate","year","idgeo","isoalpha3","fuente","indicator","area","quintile","sex","education_level","age","ethnicity","disability","migration","value","level","se","cv","sample","quality_check"
"year",2012,"country","SLV","SLV-EHPM","vulnerable","urban","Total","women","Total","15_24","Total","Total","Total",0.503352909851271,199440,0.000794310673656959,0.15780393002827,4537,""
"year",2012,"country","SLV","SLV-EHPM","vulnerable","urban","Total","women","Total","25_64","Total","Total","Total",0.491237613081437,484965,0.000503145870060241,0.10242413379222,10662,""
"year",2012,"country","SLV","SLV-EHPM","vulnerable","urban","Total","women","Total","65+","Total","Total","Total",0.490845748627783,93271,0.00114682302681356,0.233642245047377,2053,""
"year",2012,"country","SLV","SLV-EHPM","vulnerable","rural","Total","Total","Total","00_04","Total","Total","Total",0.209334500105107,42820,0.000899526314760367,0.429707627891586,3708,""
"year",2012,"country","SLV","SLV-EHPM","vulnerable","rural","Total","Total","Total","05_14","Total","Total","Total",0.209860037121672,109561,0.000563577654656337,0.268549297134445,9311,""
"year",2012,"country","SLV","SLV-EHPM","vulnerable","rural","Total","Total","Total","15_24","Total","Total","Total",0.307932499846031,149997,0.000661436974836719,0.21479933919526,8756,""
"year",2012,"country","SLV","SLV-EHPM","vulnerable","rural","Total","Total","Total","25_64","Total","Total","Total",0.302257130227042,250255,0.000504699502414963,0.166976872319226,14666,""
"year",2012,"country","SLV","SLV-EHPM","vulnerable","rural","Total","Total","Total","65+","Total","Total","Total",0.323385143441376,53138,0.0011539532820215,0.356835589211503,2944,""
"year",2012,"country","SLV","SLV-EHPM","vulnerable","urban","Total","Total","Total","00_04","Total","Total","Total",0.470167668684967,131851,0.000942497648764271,0.200459902187742,3389,""
"year",2012,"country","SLV","SLV-EHPM","vulnerable","urban","Total","Total","Total","05_14","Total","Total","Total",0.487568452107206,355159,0.000585655349282525,0.120117564364839,8511,""
"year",2012,"country","SLV","SLV-EHPM","vulnerable","urban","Total","Total","Total","15_24","Total","Total","Total",0.513478191927407,401542,0.000565207180294941,0.110074232787446,8970,""
"year",2012,"country","SLV","SLV-EHPM","vulnerable","urban","Total","Total","Total","25_64","Total","Total","Total",0.484238669301338,850357,0.000377123165656159,0.0778796055672866,18947,""
"year",2012,"country","SLV","SLV-EHPM","vulnerable","urban","Total","Total","Total","65+","Total","Total","Total",0.476916141239817,150220,0.000889946300402904,0.186604357338242,3489,""
"year",2012,"country","SLV","SLV-EHPM","vulnerable","Total","Total","men","Total","00_04","Total","Total","Total",0.363224206186244,88448,0.00097459470552247,0.268317664110399,3605,""
"year",2012,"country","SLV","SLV-EHPM","vulnerable","Total","Total","men","Total","05_14","Total","Total","Total",0.364637361446282,228764,0.000607684502726803,0.166654481130652,9041,""
"year",2012,"country","SLV","SLV-EHPM","vulnerable","Total","Total","men","Total","15_24","Total","Total","Total",0.443621114249522,281919,0.000623211351782464,0.140482797541491,8881,""
"year",2012,"country","SLV","SLV-EHPM","vulnerable","Total","Total","men","Total","25_64","Total","Total","Total",0.418235514467064,481213,0.000459860212178324,0.109952454124873,14956,""
"year",2012,"country","SLV","SLV-EHPM","vulnerable","Total","Total","men","Total","65+","Total","Total","Total",0.403154877593891,82142,0.00108672612228262,0.269555494099046,2845,""
"year",2012,"country","SLV","SLV-EHPM","vulnerable","Total","Total","women","Total","00_04","Total","Total","Total",0.357062104779298,86223,0.000975027147993019,0.273069344223938,3492,""
"year",2012,"country","SLV","SLV-EHPM","vulnerable","Total","Total","women","Total","05_14","Total","Total","Total",0.378667419863205,235956,0.000614475386310063,0.162273106709852,8781,""
"year",2012,"country","SLV","SLV-EHPM","vulnerable","Total","Total","women","Total","15_24","Total","Total","Total",0.425523855818718,269620,0.000621131936598618,0.145968769577806,8845,""
"year",2012,"country","SLV","SLV-EHPM","vulnerable","Total","Total","women","Total","25_64","Total","Total","Total",0.432105173201623,619399,0.00041375015747976,0.0957521879254849,18657,""
"year",2012,"country","SLV","SLV-EHPM","vulnerable","Total","Total","women","Total","65+","Total","Total","Total",0.439902450354198,121216,0.000945601697406288,0.214957133483779,3588,""
"year",2012,"country","SLV","SLV-EHPM","vulnerable","Total","Total","Total","Total","00_04","Total","Total","Total",0.360156045419774,174671,0.000689314384267288,0.191393256626824,7097,""
"year",2012,"country","SLV","SLV-EHPM","vulnerable","Total","Total","Total","Total","05_14","Total","Total","Total",0.371628537796202,464720,0.000432137148048493,0.11628201391936,17822,""
