Pais,source,year,availability,person
GUY,IDB,2013,NA,
GUY,IDB,2015,NA,
GUY,IDB,2017,NA,
GUY,IDB,2018,NA,
GUY,IDB,2020,NA,
HND,IDB/IPUMS,1960,NA,
HND,IDB/IPUMS,1961,1,
HND,IDB/IPUMS,1962,NA,
HND,IDB/IPUMS,1963,NA,
HND,IDB/IPUMS,1964,NA,
HND,IDB/IPUMS,1970,NA,
HND,IDB/IPUMS,1971,NA,
HND,IDB/IPUMS,1972,NA,
HND,IDB/IPUMS,1973,NA,
HND,IDB/IPUMS,1974,1,
HND,IDB/IPUMS,1975,NA,
HND,IDB/IPUMS,1976,NA,
HND,IDB/IPUMS,1980,NA,
HND,IDB/IPUMS,1981,NA,
HND,IDB/IPUMS,1982,NA,
HND,IDB/IPUMS,1984,NA,
HND,IDB/IPUMS,1985,NA,
HND,IDB/IPUMS,1988,1,
HND,IDB/IPUMS,1990,NA,
HND,IDB/IPUMS,1991,NA,
HND,IDB/IPUMS,1992,NA,
HND,IDB/IPUMS,1993,NA,
HND,IDB/IPUMS,1994,NA,
HND,IDB/IPUMS,1995,NA,
HND,IDB/IPUMS,1996,NA,
HND,IDB/IPUMS,2000,NA,
HND,IDB/IPUMS,2001,1,David
HND,IDB/IPUMS,2002,NA,
HND,IDB/IPUMS,2003,NA,
HND,IDB/IPUMS,2004,NA,
HND,IDB/IPUMS,2005,NA,
HND,IDB/IPUMS,2006,NA,
HND,IDB/IPUMS,2007,NA,
HND,IDB/IPUMS,2010,NA,
HND,IDB/IPUMS,2011,NA,
HND,IDB/IPUMS,2012,NA,
HND,IDB/IPUMS,2013,0,
HND,IDB/IPUMS,2015,NA,
HND,IDB/IPUMS,2017,NA,
HND,IDB/IPUMS,2018,NA,
HND,IDB/IPUMS,2020,NA,
HTI,IPUMS,1960,NA,
HTI,IPUMS,1961,NA,
HTI,IPUMS,1962,NA,
HTI,IPUMS,1963,NA,
HTI,IPUMS,1964,NA,
HTI,IPUMS,1970,NA,
HTI,IPUMS,1971,1,
HTI,IPUMS,1972,NA,
HTI,IPUMS,1973,NA,
HTI,IPUMS,1974,NA,
HTI,IPUMS,1975,NA,
HTI,IPUMS,1976,NA,
HTI,IPUMS,1980,NA,
HTI,IPUMS,1981,NA,
HTI,IPUMS,1982,1,
HTI,IPUMS,1984,NA,
HTI,IPUMS,1985,NA,
HTI,IPUMS,1988,NA,
HTI,IPUMS,1990,NA,
HTI,IPUMS,1991,NA,
HTI,IPUMS,1992,NA,
HTI,IPUMS,1993,NA,
HTI,IPUMS,1994,NA,
HTI,IPUMS,1995,NA,
HTI,IPUMS,1996,NA,
HTI,IPUMS,2000,NA,
HTI,IPUMS,2001,NA,
HTI,IPUMS,2002,NA,
HTI,IPUMS,2003,1,David
HTI,IPUMS,2004,NA,
HTI,IPUMS,2005,NA,
HTI,IPUMS,2006,NA,
HTI,IPUMS,2007,NA,
HTI,IPUMS,2010,NA,
HTI,IPUMS,2011,NA,
HTI,IPUMS,2012,NA,
HTI,IPUMS,2013,NA,
HTI,IPUMS,2015,NA,
HTI,IPUMS,2017,NA,
HTI,IPUMS,2018,NA,
HTI,IPUMS,2020,NA,
JAM,IPUMS/IDB,1960,NA,
JAM,IPUMS/IDB,1961,NA,
JAM,IPUMS/IDB,1962,NA,
JAM,IPUMS/IDB,1963,NA,
JAM,IPUMS/IDB,1964,NA,
JAM,IPUMS/IDB,1970,NA,
JAM,IPUMS/IDB,1971,NA,
JAM,IPUMS/IDB,1972,NA,
JAM,IPUMS/IDB,1973,NA,
JAM,IPUMS/IDB,1974,NA,
JAM,IPUMS/IDB,1975,NA,
JAM,IPUMS/IDB,1976,NA,
JAM,IPUMS/IDB,1980,NA,
JAM,IPUMS/IDB,1981,NA,
JAM,IPUMS/IDB,1982,1,
JAM,IPUMS/IDB,1984,NA,
JAM,IPUMS/IDB,1985,NA,
JAM,IPUMS/IDB,1988,NA,
JAM,IPUMS/IDB,1990,NA,
JAM,IPUMS/IDB,1991,1,
JAM,IPUMS/IDB,1992,NA,
JAM,IPUMS/IDB,1993,NA,
JAM,IPUMS/IDB,1994,NA,
JAM,IPUMS/IDB,1995,NA,
JAM,IPUMS/IDB,1996,NA,
JAM,IPUMS/IDB,2000,NA,
JAM,IPUMS/IDB,2001,1,David
JAM,IPUMS/IDB,2002,NA,
JAM,IPUMS/IDB,2003,NA,
JAM,IPUMS/IDB,2004,NA,
JAM,IPUMS/IDB,2005,NA,
JAM,IPUMS/IDB,2006,NA,
JAM,IPUMS/IDB,2007,NA,
JAM,IPUMS/IDB,2010,NA,
JAM,IPUMS/IDB,2011,1,David
JAM,IPUMS/IDB,2012,NA,
JAM,IPUMS/IDB,2013,NA,
JAM,IPUMS/IDB,2015,NA,
JAM,IPUMS/IDB,2017,NA,
JAM,IPUMS/IDB,2018,NA,
JAM,IPUMS/IDB,2020,NA,
MEX,IPUMS/external,1960,1,
MEX,IPUMS/external,1961,NA,
MEX,IPUMS/external,1962,NA,
MEX,IPUMS/external,1963,NA,
MEX,IPUMS/external,1964,NA,
MEX,IPUMS/external,1970,1,
MEX,IPUMS/external,1971,NA,
MEX,IPUMS/external,1972,NA,
MEX,IPUMS/external,1973,NA,
MEX,IPUMS/external,1974,NA,
MEX,IPUMS/external,1975,NA,
MEX,IPUMS/external,1976,NA,
MEX,IPUMS/external,1980,NA,
MEX,IPUMS/external,1981,NA,
MEX,IPUMS/external,1982,NA,
MEX,IPUMS/external,1984,NA,
MEX,IPUMS/external,1985,NA,
MEX,IPUMS/external,1988,NA,
MEX,IPUMS/external,1990,1,
MEX,IPUMS/external,1991,NA,
MEX,IPUMS/external,1992,NA,
MEX,IPUMS/external,1993,NA,
MEX,IPUMS/external,1994,NA,
MEX,IPUMS/external,1995,1,
MEX,IPUMS/external,1996,NA,
MEX,IPUMS/external,2000,1,
MEX,IPUMS/external,2001,NA,
MEX,IPUMS/external,2002,NA,
MEX,IPUMS/external,2003,NA,
MEX,IPUMS/external,2004,NA,
MEX,IPUMS/external,2005,1,
MEX,IPUMS/external,2006,NA,
MEX,IPUMS/external,2007,NA,
MEX,IPUMS/external,2010,1,
MEX,IPUMS/external,2011,NA,
MEX,IPUMS/external,2012,NA,
MEX,IPUMS/external,2013,NA,
MEX,IPUMS/external,2015,1,
MEX,IPUMS/external,2017,NA,
MEX,IPUMS/external,2018,NA,
MEX,IPUMS/external,2020,1,
NIC,IPUMS,1960,NA,
NIC,IPUMS,1961,NA,
NIC,IPUMS,1962,NA,
NIC,IPUMS,1963,NA,
NIC,IPUMS,1964,NA,
NIC,IPUMS,1970,NA,
NIC,IPUMS,1971,1,
NIC,IPUMS,1972,NA,
NIC,IPUMS,1973,NA,
NIC,IPUMS,1974,NA,
NIC,IPUMS,1975,NA,
NIC,IPUMS,1976,NA,
NIC,IPUMS,1980,NA,
NIC,IPUMS,1981,NA,
NIC,IPUMS,1982,NA,
NIC,IPUMS,1984,NA,
NIC,IPUMS,1985,NA,
NIC,IPUMS,1988,NA,
NIC,IPUMS,1990,NA,
NIC,IPUMS,1991,NA,
NIC,IPUMS,1992,NA,
NIC,IPUMS,1993,NA,
NIC,IPUMS,1994,NA,
NIC,IPUMS,1995,1,
NIC,IPUMS,1996,NA,
NIC,IPUMS,2000,NA,
NIC,IPUMS,2001,NA,
NIC,IPUMS,2002,NA,
NIC,IPUMS,2003,NA,
NIC,IPUMS,2004,NA,
NIC,IPUMS,2005,1,David
NIC,IPUMS,2006,NA,
NIC,IPUMS,2007,NA,
NIC,IPUMS,2010,NA,
NIC,IPUMS,2011,NA,
NIC,IPUMS,2012,NA,
NIC,IPUMS,2013,NA,
NIC,IPUMS,2015,NA,
NIC,IPUMS,2017,NA,
NIC,IPUMS,2018,NA,
NIC,IPUMS,2020,NA,
PAN,IPUMS,1960,1,
PAN,IPUMS,1961,NA,
PAN,IPUMS,1962,NA,
PAN,IPUMS,1963,NA,
PAN,IPUMS,1964,NA,
PAN,IPUMS,1970,1,
PAN,IPUMS,1971,NA,
PAN,IPUMS,1972,NA,
PAN,IPUMS,1973,NA,
PAN,IPUMS,1974,NA,
PAN,IPUMS,1975,NA,
PAN,IPUMS,1976,NA,
PAN,IPUMS,1980,1,
PAN,IPUMS,1981,NA,
PAN,IPUMS,1982,NA,
PAN,IPUMS,1984,NA,
PAN,IPUMS,1985,NA,
PAN,IPUMS,1988,NA,
PAN,IPUMS,1990,1,
PAN,IPUMS,1991,NA,
PAN,IPUMS,1992,NA,
PAN,IPUMS,1993,NA,
PAN,IPUMS,1994,NA,
PAN,IPUMS,1995,NA,
PAN,IPUMS,1996,NA,
PAN,IPUMS,2000,1,David
PAN,IPUMS,2001,NA,
PAN,IPUMS,2002,NA,
PAN,IPUMS,2003,NA,
PAN,IPUMS,2004,NA,
PAN,IPUMS,2005,NA,
PAN,IPUMS,2006,NA,
PAN,IPUMS,2007,NA,
PAN,IPUMS,2010,1,David
PAN,IPUMS,2011,NA,
PAN,IPUMS,2012,NA,
PAN,IPUMS,2013,NA,
PAN,IPUMS,2015,NA,
PAN,IPUMS,2017,NA,
PAN,IPUMS,2018,NA,
PAN,IPUMS,2020,NA,
PRY,IPUMS/external,1960,NA,
PRY,IPUMS/external,1961,NA,
PRY,IPUMS/external,1962,1,
